id,company_name,website,email,phone,whatsapp,telegram,vk,country,city,source_url,notes,status,created_at,updated_at,contacted_at,replied_at,campaign,business_type,product_category,buyer_evidence,qualification_score,source_type,source_query,verification_status,contact_person,contact_person_title,contact_person_source,email_source,phone_source,whatsapp_source,telegram_source,vk_source,linkedin_url,linkedin_source,verification_notes,last_verified_at,legal_entity_name,page_title,company_identity_source
87,Plitka Mosaica,https://www.plitka-mosaica.ru,mosaika@kb-ferrum.ru,+7 495 783 93 58,https://api.whatsapp.com/send?phone=79855538801,https://t.me/ferrum_design,https://vk.com/newferrumdesign,Russia,Москва,https://www.plitka-mosaica.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:14:23,2026-08-24 18:51:43,,,Real-Data Batch,Importer/Wholesaler,Ceramic Tiles & Sanitaryware,Importer with tile/sanitaryware relevance; Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,100,Search Discovery,Seed List,Verified,Конопко Игорь,Генеральный Директор,https://www.plitka-mosaica.ru/about/,https://www.plitka-mosaica.ru,https://www.plitka-mosaica.ru,https://www.plitka-mosaica.ru,https://www.plitka-mosaica.ru,https://www.plitka-mosaica.ru,,,"Automated evidence: Wholesale operations found on https://www.plitka-mosaica.ru/personal/profile/; Wholesale operations found on https://www.plitka-mosaica.ru/mozaika-optom/; Supplier relations found on https://www.plitka-mosaica.ru/mozaika-optom/; Wholesale operations found on https://www.plitka-mosaica.ru; Wholesale operations found on https://www.plitka-mosaica.ru/contacts/; Wholesale operations found on https://www.plitka-mosaica.ru/about/
Automated scan completed on 2026-08-24 23:45:22",2026-08-24 23:45:22,,"Купить мозаику в Москве, Мозаика недорого, Цены производителя | Феррум Дизайн",Domain Cleanup (Retro Fallback)
88,Ceramomaster,https://www.ceramomaster.ru,ceramomaster@mail.ru,+7 (903) 171-79-98,,,,Russia,Москва,https://www.ceramomaster.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:15:32,2026-08-24 18:51:47,,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Contact phone details present,75,Search Discovery,Seed List,Verified,,,,https://www.ceramomaster.ru,https://www.ceramomaster.ru,,,,,,"Automated evidence: Distribution operations found on https://www.ceramomaster.ru/about_us.html; Distribution operations found on https://www.ceramomaster.ru/contacts.html; Wholesale operations found on https://www.ceramomaster.ru/about_us.html; Wholesale operations found on https://www.ceramomaster.ru; Distribution operations found on https://www.ceramomaster.ru
Automated scan completed on 2026-08-24 23:45:41",2026-08-24 23:45:41,,"Официальный дилер Уральский гранит и Идальго (IDALGO), купить керамогранит в Москве и Московской области онлайн - Керамомастер",Domain Cleanup (Retro Fallback)
89,КЕРАМОТЕКА РИТЕЙЛ,https://keramoteka.ru,msk@keramoteka.ru,+7 (495) 649-8420,https://wa.me/79264718539,https://t.me/KeramotekaOfficial,,Russia,Москва,https://keramoteka.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:17:48,2026-08-24 18:51:51,,,Real-Data Batch,Importer/Wholesaler,Ceramic Tiles & Sanitaryware,Importer with tile/sanitaryware relevance; Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,100,Search Discovery,Seed List,Verified,Наталья Ермолаева,Руководитель,https://keramoteka.ru/contacts/,https://keramoteka.ru,https://keramoteka.ru,https://keramoteka.ru/contacts/,https://keramoteka.ru,,,,"Automated evidence: Wholesale operations found on https://keramoteka.ru/about/; Import activities found on https://keramoteka.ru/dealer/; Wholesale operations found on https://keramoteka.ru/dealer/
Automated scan completed on 2026-08-24 23:48:03",2026-08-24 23:48:03,ООО «КЕРАМОТЕКА РИТЕЙЛ»,"КЕРАМОТЕКА. Собрание коллекций керамической плитки, керамогранита от лучших европейских производителей. Поставщик Atlas Concorde, Equipe Ceramicas, 41zero42, Wow Design, Adex, Grazia, Arcana, Italgraniti, Porcelanite Dos.",Legal Entity Extraction (Retro)
90,Aney,https://aney.ru,fax@aney.ru,+7 916 155-05-89,,,,Russia,Москва,https://aney.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:18:12,2026-08-24 18:51:55,,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,80,Search Discovery,Seed List,Verified,,,,https://aney.ru,https://aney.ru,,,,,,"Automated evidence: Wholesale operations found on https://aney.ru/~legal-personal-data; Dealer partnerships found on https://aney.ru/kak-dizajneru-rabotat-s-postavshchikom-plitki-132063; Dealer partnerships found on https://aney.ru/contacts; Wholesale operations found on https://aney.ru; Wholesale operations found on https://aney.ru/kak-dizajneru-rabotat-s-postavshchikom-plitki-132063; Dealer partnerships found on https://aney.ru/o-nas; Wholesale operations found on https://aney.ru/contacts; Distribution operations found on https://aney.ru; Wholesale operations found on https://aney.ru/o-nas; Dealer partnerships found on https://aney.ru/~legal-personal-data; Distribution operations found on https://aney.ru/o-nas; Dealer partnerships found on https://aney.ru
Automated scan completed on 2026-08-24 23:48:25",2026-08-24 23:48:25,,"Аней — официальный дистрибьютор керамической плитки, керамогранита и мозаики",Domain Cleanup (Retro Fallback)
102,A Ceramica,https://a-ceramica.ru,info@a-ceramica.ru,8-800-775-26-72,,https://t.me/aceramica_official,https://vk.com/aceramica_official,Russia,Москва,https://a-ceramica.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:33:46,2026-08-24 18:52:00,,,Real-Data Batch,Manufacturer / Importer/Wholesaler,Ceramic Tiles & Sanitaryware,Importer with tile/sanitaryware relevance; Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present; Penalized: Primarily a manufacturer,90,Search Discovery,Seed List,Verified,,,,https://a-ceramica.ru,https://a-ceramica.ru,,https://a-ceramica.ru,https://a-ceramica.ru,,,"Automated evidence: Wholesale operations found on https://a-ceramica.ru; Dealer partnerships found on https://a-ceramica.ru; Import activities found on https://a-ceramica.ru
Automated scan completed on 2026-08-25 00:04:43",2026-08-25 00:04:43,,Керамогранит и плитка оптом - A-Ceramica,Domain Cleanup (Retro Fallback)
108,Баусервис,https://laparet.ru,info@laparet.ru,8 (800) 550-78-99,,https://t.me/laparet_official,,Russia,Москва,https://laparet.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:35:06,2026-08-24 18:52:03,,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,80,Search Discovery,Seed List,Verified,,,,https://laparet.ru,https://laparet.ru,,https://laparet.ru,,,,"Automated evidence: Wholesale operations found on https://laparet.ru/about/
Automated scan completed on 2026-08-25 00:05:16",2026-08-25 00:05:16,ООО «Баусервис»,Laparet: керамическая плитка и керамогранит от производителя,Legal Entity Extraction (Retro)
109,Artcentre,https://artcentre.club,office@artcentre.club,8 (800) 2-501-509,,https://t.me/artcentre_club,https://vk.com/public211394021,Russia,Москва,https://artcentre.club,Scraped and qualified automatically.,Approved,2026-08-24 18:35:44,2026-08-24 18:52:06,,,Real-Data Batch,Manufacturer / Importer/Wholesaler,Ceramic Tiles & Sanitaryware,Importer with tile/sanitaryware relevance; Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present; Penalized: Primarily a manufacturer,90,Search Discovery,Seed List,Verified,Ахметов Марат Радикович,Директор,https://artcentre.club/contacts/,https://artcentre.club/contacts/,https://artcentre.club,,https://artcentre.club,https://artcentre.club,,,"Automated evidence: Supplier relations found on https://artcentre.club/about/; Dealer partnerships found on https://artcentre.club/contacts/; Distribution operations found on https://artcentre.club; Dealer partnerships found on https://artcentre.club; Foreign economic activities (ВЭД) found on https://artcentre.club/contacts/; Wholesale operations found on https://artcentre.club/dileram/; Supplier relations found on https://artcentre.club/dileram/; Wholesale operations found on https://artcentre.club/about/; Distribution operations found on https://artcentre.club/about/; Dealer partnerships found on https://artcentre.club/dileram/; Dealer partnerships found on https://artcentre.club/about/
Automated scan completed on 2026-08-25 00:05:51",2026-08-25 00:05:51,,Магазин керамической плитки и керамогранита в Москве | Art Centre,Domain Cleanup (Retro Fallback)
110,Гранит и плитка,https://c-s-g.ru,granite-tile@c-s-g.ru,+7 (499) 702-70-04,,https://t.me/ByAzarova,,Russia,Москва,https://c-s-g.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:36:04,2026-08-24 18:52:11,,,Real-Data Batch,Manufacturer / Importer/Wholesaler,Ceramic Tiles & Sanitaryware,Importer with tile/sanitaryware relevance; Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present; Penalized: Primarily a manufacturer,90,Search Discovery,Seed List,Verified,Румянцев Евгений,Руководитель,https://c-s-g.ru,https://c-s-g.ru,https://c-s-g.ru,,https://c-s-g.ru,,,,"Automated evidence: Wholesale operations found on https://c-s-g.ru; Wholesale operations found on https://c-s-g.ru/cooperation; Wholesale operations found on https://c-s-g.ru#submenu:company; Dealer partnerships found on https://c-s-g.ru/cooperation; Import activities found on https://c-s-g.ru; Import activities found on https://c-s-g.ru#submenu:company; Import activities found on https://c-s-g.ru/cooperation; Wholesale operations found on https://c-s-g.ru/contacts
Automated scan completed on 2026-08-25 00:06:15",2026-08-25 00:06:15,ООО «Гранит и плитка»,Собственное производство и оптовые поставки натурального камня,Legal Entity Extraction (Retro)
111,СК Мегалит,https://technotile.ru,opt@technotile.ru,+7 (499) 350-44-50,,,,Russia,Москва,https://technotile.ru,Scraped and qualified automatically.,Contacted,2026-08-24 18:36:52,2026-08-26 07:48:18,2026-08-26 13:18:18,,Real-Data Batch,Importer/Wholesaler,Ceramic Tiles & Sanitaryware,Importer with tile/sanitaryware relevance; Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,100,Search Discovery,Seed List,Verified,А.И. Потапов,Генеральный Директор,https://technotile.ru,https://technotile.ru,https://technotile.ru,,,,,,"Automated evidence: Wholesale operations found on https://technotile.ru/personal/favorites/; Wholesale operations found on https://technotile.ru; Distribution operations found on https://technotile.ru
Automated scan completed on 2026-08-25 00:07:02",2026-08-25 00:07:02,ООО «СК Мегалит»,Купить керамогранит в Москве и России. Оптом от производителя по низким ценам.,Legal Entity Extraction (Retro)
112,Контакт-М,https://kontact-m.ru,zakaz@kontact-m.ru,+7 (905) 779-77-11,,https://t.me/+79037994443?text=Приветствую. Меня интересует заказ демонстрации товара,https://vk.com/kontakt_m,Russia,Москва,https://kontact-m.ru,Scraped and qualified automatically.,Contacted,2026-08-24 18:37:22,2026-08-26 07:48:24,2026-08-26 13:18:24,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,80,Search Discovery,Seed List,Verified,Дашин Дмитрий,Руководитель,https://kontact-m.ru/contacts/,https://kontact-m.ru,https://kontact-m.ru,,https://kontact-m.ru/contacts/,https://kontact-m.ru,,,"Automated evidence: Supplier relations found on https://kontact-m.ru/personal/cart/; Supplier relations found on https://kontact-m.ru/about/; Wholesale operations found on https://kontact-m.ru; Wholesale operations found on https://kontact-m.ru/suppliers/; Supplier relations found on https://kontact-m.ru/contacts/; Wholesale operations found on https://kontact-m.ru/contacts/; Distribution operations found on https://kontact-m.ru/about/; Tender participation found on https://kontact-m.ru/contacts/; Wholesale operations found on https://kontact-m.ru/about/; Supplier relations found on https://kontact-m.ru; Wholesale operations found on https://kontact-m.ru/personal/cart/; Supplier relations found on https://kontact-m.ru/suppliers/
Automated scan completed on 2026-08-25 00:07:40",2026-08-25 00:07:40,ООО «Контакт-М»,Керамическая плитка – интернет-магазин Контакт-M,Legal Entity Extraction (Retro)
118,Керам Киото,https://ceram-kioto.ru,ceram-kioto@mail.ru,+7 (495) 589-36-85,https://wa.me/+79672454514,,https://vk.com/ceram_kioto,Russia,Москва,https://ceram-kioto.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:37:52,2026-08-24 18:52:25,,,Real-Data Batch,Manufacturer / Importer/Wholesaler,Ceramic Tiles & Sanitaryware,Importer with tile/sanitaryware relevance; Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Contact phone details present; Penalized: Primarily a manufacturer,85,Search Discovery,Seed List,Verified,,,,https://ceram-kioto.ru,https://ceram-kioto.ru,https://ceram-kioto.ru,,https://ceram-kioto.ru,,,"Automated evidence: Wholesale operations found on https://ceram-kioto.ru/optovikam/; Wholesale operations found on https://ceram-kioto.ru; Wholesale operations found on https://www.ceram-kioto.ru/contacts/; Wholesale operations found on https://ceram-kioto.ru/company/index.php; Wholesale operations found on https://ceram-kioto.ru/personal/
Automated scan completed on 2026-08-25 00:08:07",2026-08-25 00:08:07,"ООО ""Керам Киото""",Оптовый поставщик керамогранита и вентфасадов ООО Керам Киото,Legal Entity Extraction (Retro)
129,Воронежская керамика,https://unitile.ru,info@unitile.ru,8 (800) 200 78 87,,https://t.me/unitileru,https://vk.com/unitileru,Russia,Москва,https://unitile.ru,Scraped and qualified automatically.,Contacted,2026-08-24 18:48:07,2026-08-26 07:48:29,2026-08-26 13:18:29,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,80,Search Discovery,Seed List,Verified,Владимира Гордеева,Директор,https://unitile.ru,https://unitile.ru,https://unitile.ru/contacts/,,https://unitile.ru,https://unitile.ru,,,"Automated evidence: Tender participation found on https://unitile.ru/about/; Tender participation found on https://unitile.ru/contacts/; Supplier relations found on https://unitile.ru/providers/; Distribution operations found on https://unitile.ru/about/team/; Supplier relations found on https://unitile.ru/about/team/; Distribution operations found on https://unitile.ru; Distribution operations found on https://unitile.ru/contacts/; Distribution operations found on https://unitile.ru/about/; Tender participation found on https://unitile.ru/about/team/; Procurement / Purchasing found on https://unitile.ru/providers/; Supplier relations found on https://unitile.ru; Tender participation found on https://unitile.ru/providers/; Supplier relations found on https://unitile.ru/contacts/; Tender participation found on https://unitile.ru; Distribution operations found on https://unitile.ru/providers/; Supplier relations found on https://unitile.ru/about/
Automated scan completed on 2026-08-25 00:18:16",2026-08-25 00:18:16,ООО «Воронежская керамика»,Группа компаний Unitile – ведущий отечественный производитель широкого спектра строительных и отделочных материалов,Legal Entity Extraction
130,Ceramogranit Optom,https://ceramogranit-optom.ru,sale@ceramogranit-optom.ru,+7 495 540-50-10,,,,Russia,Москва,https://ceramogranit-optom.ru,Scraped and qualified automatically.,Approved,2026-08-24 18:48:59,2026-08-24 18:49:13,,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,80,Search Discovery,Seed List,Verified,,,,https://ceramogranit-optom.ru,https://ceramogranit-optom.ru,,,,,,"Automated evidence: Wholesale operations found on https://ceramogranit-optom.ru; Wholesale operations found on https://ceramogranit-optom.ru/personal/; Wholesale operations found on https://ceramogranit-optom.ru/company/; Wholesale operations found on https://ceramogranit-optom.ru/company/news/keramogranit_optom_ukreplyaet_pozitsii_na_rynke_strategicheskoe_uchastie_v_mosbuild_2026/; Wholesale operations found on https://ceramogranit-optom.ru/contacts/
Automated scan completed on 2026-08-25 00:19:13",2026-08-25 00:19:13,,Керамогранит оптом и в розницу по низкой цене с доставкой по РФ каталог на официальном сайте интернет-магазина Керамогранит Оптом,Domain Cleanup
