company_name,website,company_type,product_category,business_email,business_phone,whatsapp,contact_person,designation,product_fit_score,import_activity_score,company_size_score,market_relevance_score,recent_activity_score,decision_maker_score,total_score,lead_bucket,buyer_probability,import_probability,product_relevance,company_size,market_relevance,recent_activity,decision_maker_status,qualification_status,qualification_error,reason,recommended_action,evidence,sales_priority,outreach_status,first_contact_date,follow_up_date,response,communication_status,sales_status,opportunity_status,lost_reason
Керамир (Ceramir),https://ceramir.ru/,UNKNOWN,Porcelain & Ceramic Tiles,info@ceramir.ru,+7 495 256-06-46,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,0.0,0.0,45,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"Ceramir actively operates in the Russian ceramic tile and porcelain stoneware market, matching Wolf Group India's target product portfolio and target geography. However, specific company type, direct import operations, and decision-maker contact details are not explicitly established in the provided evidence.",Perform secondary research on the company website to verify import/distribution capabilities and identify direct procurement contacts or decision-makers.,Page title translates to 'Ceramir: ceramic tiles and porcelain tiles' ('Керамир: керамическая плитка и керамогранит').; Active website operating in the Russian market with verified tile relevance.; General contact information available: info@ceramir.ru and phone +74952560646.,🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
эксклюзивный дистрибьютор KERAMA MARAZZI в РФ,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,DISTRIBUTOR,Porcelain & Ceramic Tiles,info@interstone.su,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,0.0,0.0,45,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"INTERSTONE is identified as an active Russian distributor for Kerama Marazzi, a major tile brand. While product and market relevance are high, there is no explicit evidence of direct import operations or a named decision-maker.",Initiate email contact via info@interstone.su to verify interest in sourcing external porcelain/ceramic tile lines and request contacts for procurement decision-makers.,Page title indicates INTERSTONE is an exclusive distributor of KERAMA MARAZZI in Russia ('INTERSTONE - эксклюзивный дистрибьютор KERAMA MARAZZI в РФ').; Tile Relevant Flag and Russia Relevant Flag are both set to YES.; Business Email available: info@interstone.su.,🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Global Tile,https://global-tile.ru/,MANUFACTURER,Porcelain & Ceramic Tiles,info@global-tile.ru,+7 495 587-80-00,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,3.0,0.0,48,POTENTIAL,LOW,LOW,HIGH,UNKNOWN,HIGH,LOW,NOT_FOUND,QUALIFIED,NOT_FOUND,"Global Tile is a Moscow-based entity dealing in ceramic and porcelain tiles, claiming to be a manufacturer ('от производителя'). Because they manufacture/sell their own product line and there is no evidence of direct tile importing, buyer and import probability are low.",Conduct further research to determine if they outsource manufacturing or import specific lines from overseas before attempting targeted procurement outreach.,"Page title translates to 'Global Tile: ceramic tiles and porcelain tiles from the manufacturer in Moscow'.; Website status is ACTIVE with positive flags for tile relevance and Russian market relevance.; Generic contact info found (info@global-tile.ru, phone +74955878000), but no specific decision maker or import activity documented.",🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Italon,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,UNKNOWN,Porcelain & Ceramic Tiles,NOT_FOUND,+7 381 451-66-06,NOT_FOUND,NOT_FOUND,NOT_FOUND,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"Insufficient information; no website, product details, or decision maker data available.",Conduct additional research to verify company details and identify relevant contacts.,Business Phone: 73814516606.0,⚪ Low,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит оптом и в розницу по низкой цене с ...,http://ceramogranit-optom.ru/?srsltid=afmboorgtblbxduscnx4ylwuuhfjej8vo_vz3szeb8_l7vp2s8avoo9q,WHOLESALER,Porcelain & Ceramic Tiles,sale@ceramogranit-optom.ru,+7 495 540-50-10,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,3.0,0.0,48,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,LOW,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates as a Russian wholesaler and retailer specializing in porcelain tiles, making product and market relevance high. However, there is no explicit evidence of direct importing activity or decision-maker contacts in the provided data.",Contact the company via sale@ceramogranit-optom.ru to present Wolf Group India's export catalog and request connection with the procurement or import manager.,Page title states wholesale and retail sales of porcelain tiles ('Керамогранит оптом и в розницу') with delivery across the Russian Federation ('доставкой по РФ').; Domain name 'ceramogranit-optom.ru' focuses on wholesale porcelain stoneware.; Business email 'sale@ceramogranit-optom.ru' and phone number '+74955405010' provided.,🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит.ру (Keramogranit.ru),https://www.keramogranit.ru/,RETAILER,Porcelain & Ceramic Tiles,manager@keramogranit.ru,+7 495 966-38-80,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,3.0,0.0,48,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,LOW,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an active tile retail shop in Moscow with direct product alignment. However, there is no explicit evidence of direct import operations or identified decision-maker contacts.",Contact manager@keramogranit.ru to identify the purchasing or import decision-maker and assess interest in importing porcelain tiles from India.,Page title confirms business as a Moscow tile store: 'Керамогранит - купить в Москве по цене производителя | Магазин плитки Керамогранит.ру'.; Verified active website selling porcelain and ceramic tile products in Russia.,🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамическая плитка и керамогранит оптом для дилеров,https://artcentre.club/dileram/,WHOLESALER,Porcelain & Ceramic Tiles,office@artcentre.club,+7 028 109-03-00,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company name explicitly states it sells ceramic tiles and porcelain stoneware wholesale to dealers, making its product relevance to the exporter’s portfolio high and indicating a buyer role. No information is available about whether they import, their size, or recent activity, so those fields are set to UNKNOWN. Decision‑maker details are missing, resulting in NOT_FOUND. The Russian language name suggests the company operates in the Russian market, giving high market relevance.","Reach out via the provided email/phone to confirm import interest, gather decision‑maker details, and assess company size before proceeding with a sales pitch.","Company name indicates wholesale of ceramic tiles and porcelain stoneware (""Керамическая плитка и керамогранит оптом для дилеров"").; Business email provided: office@artcentre.club.; Business phone provided: 70281090300.0.; Decision maker information not found.",🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамическая плитка оптом в Москве,https://elmantrade.ru/kupit-optom/?srsltid=afmbooopbw6qlagiroeisqcfkhadyia5scy09bntxgal9cwuswkixxff,WHOLESALER,Porcelain & Ceramic Tiles,office@elmantrade.ru,+7 495 103-48-48,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company name directly references wholesale ceramic tiles in Moscow, aligning it with the target product category and making it a potentially valuable buyer. However, there is no information on import activity, company size, or recent engagement, and no decision‑maker details are available.","Conduct further research to locate decision‑maker contacts (e.g., via phone or LinkedIn) and verify recent activity before initiating outreach.","Company name includes ""оптом"" meaning wholesale of ceramic tiles, indicating the firm operates as a wholesaler.; Business email domain elmantrade.ru suggests a Russian tile business focused on ceramic tiles.",🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит оптом - Керамическая плитка,https://opt.mosplitka.ru/,WHOLESALER,Porcelain & Ceramic Tiles,opt@mosplitka.ru,+7 495 104-70-80,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company advertises wholesale ceramic tiles and porcelain stoneware in Russia, indicating a strong relevance to our product line (HIGH) and a high likelihood of being a buyer. No information is available about their import activities or company size, and no decision‑maker details were found. The website is active, confirming recent activity.",Initiate outreach to the generic contact (email/phone) to assess interest in importing porcelain and ceramic tiles.,Website active at https://opt.mosplitka.ru/ with title indicating wholesale ceramic tiles; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email: opt@mosplitka.ru; Business Phone: 74951047080.0; Notes: Verified active site with matching tile and Russian relevance keywords,🟡 Research,CONTACTED,2026-08-18,2026-08-25,NO_RESPONSE,FOLLOW_UP,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Арткерамика (Artkeramika),https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,WHOLESALER,Porcelain & Ceramic Tiles,zakaz@artkeramika-opt.ru,+7 499 703-30-42,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company sells ceramic tiles wholesale in Moscow, matching our product category and Russian market, but there is no information on size, import habits, or decision‑maker contacts.",Contact via the listed email or phone to gauge interest and request decision‑maker details; treat as a medium‑priority lead.,"Page title ""Купить керамическую плитку оптом в Москве"" indicates wholesale purchase of ceramic tiles; Website status is ACTIVE; Tile Relevant Flag: YES and Russia Relevant Flag: YES show relevance to our product and market; Business email (zakaz@artkeramika-opt.ru) and phone (74997033042) are listed",🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Best Tiles Manufacturer in Russia,https://www.durezagranito.com/tiles-manufacturer-exporter-in-russia/,MANUFACTURER,Porcelain & Ceramic Tiles,info@durezagranito.com,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company identifies itself as a tile manufacturer in Russia, matching the product and market relevance criteria. However, there is no evidence they purchase or import tiles, nor any size or decision‑maker details. The active website confirms recent activity but decision‑maker contact is missing.",Research further to locate decision‑maker contacts,"Website title states ""Best Tiles Manufacturer in Russia"" indicating manufacturer status; Tile Relevant Flag set to YES indicating high product relevance; Russia Relevant Flag set to YES indicating high market relevance; Website status ACTIVE and verification note confirming active site, showing recent activity; Business email available but no decision maker information, decision maker status NOT_FOUND",🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Интернет-магазин керамогранита и керамической плитки в ...,https://msk.estima.ru/,RETAILER,Porcelain & Ceramic Tiles,salon-msk@estima.ru,+7 499 110-60-04,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an online tile shop in Moscow, showing strong product and market relevance and a high likelihood of purchasing tiles, but there is no evidence of import activity, company size, or a identified decision‑maker.",Contact via the provided email or phone to obtain a purchasing manager contact and assess interest in importing tiles.,"Page title states ""Интернет-магазин керамогранита и керамической плитки в Москве Estima"" indicating a retail online store.; Tile Relevant Flag: YES confirming relevance to porcelain/ceramic tiles.; Russia Relevant Flag: YES confirming market relevance to Russia.; Website Status: ACTIVE with verification note of active site.; Business Email and Phone provided (salon‑msk@estima.ru, 74991106004) indicating operational presence.",🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
"Плитка, камень оптом — купить по цене производителя",https://volmatech.ru/catalog/plitka_kamen/,MANUFACTURER,Porcelain & Ceramic Tiles,shop@volma.ru,+7 800 700-04-17,+7,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The website is an active Russian tile manufacturer (factory) selling tiles at manufacturer prices, making it highly relevant to tile products and the Russian market. No evidence shows they purchase tiles from abroad or their size, so buyer and import probabilities are unknown.",Research to identify a decision maker before initiating outreach,"Page title contains ""завод ВОЛМА"" indicating a factory/manufacturer; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Website Status: ACTIVE; Business Email provided: shop@volma.ru; Decision Maker: NOT_FOUND",🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Импорт керамической плитки в Российской Федерации,https://www.abok.ru/for_spec/articles.php?nid=1579,UNKNOWN,Porcelain & Ceramic Tiles,support@abok.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,25.0,0.0,15.0,0.0,0.0,65,WARM,MEDIUM,HIGH,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The site is active and explicitly focuses on the import of ceramic tiles in Russia, indicating high product and market relevance. The lack of concrete company details (size, type, decision‑maker) forces a conservative classification for company_type and recent activity, while the import focus suggests a high probability of importing tiles and a medium likelihood of being a buyer. No decision‑maker information is available.","Conduct deeper research to identify the actual business entity behind the site, locate decision‑makers, and verify purchasing intent before outreach.",Website https://www.abok.ru/for_spec/articles.php?nid=1579 is active and contains tile and Russia relevance keywords; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email: support@abok.ru; Verified active site with matching tile and Russian relevance keywords,🟠 High,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит купить в Санкт-Петербурге по выгодной ...,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,WHOLESALER,Porcelain & Ceramic Tiles,stroikeramika@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an active Russian site focused on ceramic tiles and explicitly mentions wholesale (оптом) and retail sales, indicating relevance as a potential buyer of tiles. No concrete data on company size, import habits, or decision‑maker contacts is available, so those fields remain UNKNOWN or NOT_FOUND. The active online presence suggests high recent activity and strong market relevance in the Russian tile sector.",Contact via the listed email to introduce Wolf Group India's porcelain and ceramic tiles and assess interest in importing.,"Active website https://plitka-78.ru/... with tile‑related content and Russian keywords; Page title indicates selling ceramic tiles wholesale and retail in Saint‑Petersburg; Business email provided (stroikeramika@mail.ru); Tile Relevant Flag: YES, Russia Relevant Flag: YES",🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Showrooms and dealers in Russia,https://www.marazzigroup.com/locality/russia-country/,SHOWROOM,Porcelain & Ceramic Tiles,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The source confirms the entity operates showrooms/dealers for tiles in Russia, giving high product and market relevance. No size or import data is available, and no decision‑maker contact is found, leading to medium buyer probability and unknown import probability.",Research and obtain contact details for showroom procurement staff before initiating outreach.,Showrooms and dealers in Russia page on Marazzi site indicating tile relevance and Russia relevance.; Verified active site with matching tile and Russian relevance keywords.,🟡 Research,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
