company_name,website,company_type,product_category,business_email,business_phone,whatsapp,contact_person,designation,product_fit_score,import_activity_score,company_size_score,market_relevance_score,recent_activity_score,decision_maker_score,total_score,lead_bucket,buyer_probability,import_probability,product_relevance,company_size,market_relevance,recent_activity,decision_maker_status,qualification_status,qualification_error,reason,recommended_action,evidence,sales_priority
Керамогранит оптом и в розницу по низкой цене с ...,http://ceramogranit-optom.ru/?srsltid=afmboorgtblbxduscnx4ylwuuhfjej8vo_vz3szeb8_l7vp2s8avoo9q,WHOLESALER,Porcelain & Ceramic Tiles,sale@ceramogranit-optom.ru,+7 495 540-50-10,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,3.0,0.0,48,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,LOW,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates as a Russian wholesaler and retailer specializing in porcelain tiles, making product and market relevance high. However, there is no explicit evidence of direct importing activity or decision-maker contacts in the provided data.",Contact the company via sale@ceramogranit-optom.ru to present Wolf Group India's export catalog and request connection with the procurement or import manager.,Page title states wholesale and retail sales of porcelain tiles ('Керамогранит оптом и в розницу') with delivery across the Russian Federation ('доставкой по РФ').; Domain name 'ceramogranit-optom.ru' focuses on wholesale porcelain stoneware.; Business email 'sale@ceramogranit-optom.ru' and phone number '+74955405010' provided.,🟡 Research
Керамогранит.ру (Keramogranit.ru),https://www.keramogranit.ru/,RETAILER,Porcelain & Ceramic Tiles,manager@keramogranit.ru,+7 495 966-38-80,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,3.0,0.0,48,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,LOW,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an active tile retail shop in Moscow with direct product alignment. However, there is no explicit evidence of direct import operations or identified decision-maker contacts.",Contact manager@keramogranit.ru to identify the purchasing or import decision-maker and assess interest in importing porcelain tiles from India.,Page title confirms business as a Moscow tile store: 'Керамогранит - купить в Москве по цене производителя | Магазин плитки Керамогранит.ру'.; Verified active website selling porcelain and ceramic tile products in Russia.,🟡 Research
Керамическая плитка и керамогранит оптом для дилеров,https://artcentre.club/dileram/,WHOLESALER,Porcelain & Ceramic Tiles,office@artcentre.club,+7 028 109-03-00,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company name explicitly states it sells ceramic tiles and porcelain stoneware wholesale to dealers, making its product relevance to the exporter’s portfolio high and indicating a buyer role. No information is available about whether they import, their size, or recent activity, so those fields are set to UNKNOWN. Decision‑maker details are missing, resulting in NOT_FOUND. The Russian language name suggests the company operates in the Russian market, giving high market relevance.","Reach out via the provided email/phone to confirm import interest, gather decision‑maker details, and assess company size before proceeding with a sales pitch.","Company name indicates wholesale of ceramic tiles and porcelain stoneware (""Керамическая плитка и керамогранит оптом для дилеров"").; Business email provided: office@artcentre.club.; Business phone provided: 70281090300.0.; Decision maker information not found.",🟡 Research
Керамическая плитка оптом в Москве,https://elmantrade.ru/kupit-optom/?srsltid=afmbooopbw6qlagiroeisqcfkhadyia5scy09bntxgal9cwuswkixxff,WHOLESALER,Porcelain & Ceramic Tiles,office@elmantrade.ru,+7 495 103-48-48,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company name directly references wholesale ceramic tiles in Moscow, aligning it with the target product category and making it a potentially valuable buyer. However, there is no information on import activity, company size, or recent engagement, and no decision‑maker details are available.","Conduct further research to locate decision‑maker contacts (e.g., via phone or LinkedIn) and verify recent activity before initiating outreach.","Company name includes ""оптом"" meaning wholesale of ceramic tiles, indicating the firm operates as a wholesaler.; Business email domain elmantrade.ru suggests a Russian tile business focused on ceramic tiles.",🟡 Research
Керамогранит оптом - Керамическая плитка,https://opt.mosplitka.ru/,WHOLESALER,Porcelain & Ceramic Tiles,opt@mosplitka.ru,+7 495 104-70-80,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company advertises wholesale ceramic tiles and porcelain stoneware in Russia, indicating a strong relevance to our product line (HIGH) and a high likelihood of being a buyer. No information is available about their import activities or company size, and no decision‑maker details were found. The website is active, confirming recent activity.",Initiate outreach to the generic contact (email/phone) to assess interest in importing porcelain and ceramic tiles.,Website active at https://opt.mosplitka.ru/ with title indicating wholesale ceramic tiles; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email: opt@mosplitka.ru; Business Phone: 74951047080.0; Notes: Verified active site with matching tile and Russian relevance keywords,🟡 Research
Арткерамика (Artkeramika),https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,WHOLESALER,Porcelain & Ceramic Tiles,zakaz@artkeramika-opt.ru,+7 499 703-30-42,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company sells ceramic tiles wholesale in Moscow, matching our product category and Russian market, but there is no information on size, import habits, or decision‑maker contacts.",Contact via the listed email or phone to gauge interest and request decision‑maker details; treat as a medium‑priority lead.,"Page title ""Купить керамическую плитку оптом в Москве"" indicates wholesale purchase of ceramic tiles; Website status is ACTIVE; Tile Relevant Flag: YES and Russia Relevant Flag: YES show relevance to our product and market; Business email (zakaz@artkeramika-opt.ru) and phone (74997033042) are listed",🟡 Research
Best Tiles Manufacturer in Russia,https://www.durezagranito.com/tiles-manufacturer-exporter-in-russia/,MANUFACTURER,Porcelain & Ceramic Tiles,info@durezagranito.com,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company identifies itself as a tile manufacturer in Russia, matching the product and market relevance criteria. However, there is no evidence they purchase or import tiles, nor any size or decision‑maker details. The active website confirms recent activity but decision‑maker contact is missing.",Research further to locate decision‑maker contacts,"Website title states ""Best Tiles Manufacturer in Russia"" indicating manufacturer status; Tile Relevant Flag set to YES indicating high product relevance; Russia Relevant Flag set to YES indicating high market relevance; Website status ACTIVE and verification note confirming active site, showing recent activity; Business email available but no decision maker information, decision maker status NOT_FOUND",🟡 Research
Интернет-магазин керамогранита и керамической плитки в ...,https://msk.estima.ru/,RETAILER,Porcelain & Ceramic Tiles,salon-msk@estima.ru,+7 499 110-60-04,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an online tile shop in Moscow, showing strong product and market relevance and a high likelihood of purchasing tiles, but there is no evidence of import activity, company size, or a identified decision‑maker.",Contact via the provided email or phone to obtain a purchasing manager contact and assess interest in importing tiles.,"Page title states ""Интернет-магазин керамогранита и керамической плитки в Москве Estima"" indicating a retail online store.; Tile Relevant Flag: YES confirming relevance to porcelain/ceramic tiles.; Russia Relevant Flag: YES confirming market relevance to Russia.; Website Status: ACTIVE with verification note of active site.; Business Email and Phone provided (salon‑msk@estima.ru, 74991106004) indicating operational presence.",🟡 Research
"Плитка, камень оптом — купить по цене производителя",https://volmatech.ru/catalog/plitka_kamen/,MANUFACTURER,Porcelain & Ceramic Tiles,shop@volma.ru,+7 800 700-04-17,+7,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The website is an active Russian tile manufacturer (factory) selling tiles at manufacturer prices, making it highly relevant to tile products and the Russian market. No evidence shows they purchase tiles from abroad or their size, so buyer and import probabilities are unknown.",Research to identify a decision maker before initiating outreach,"Page title contains ""завод ВОЛМА"" indicating a factory/manufacturer; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Website Status: ACTIVE; Business Email provided: shop@volma.ru; Decision Maker: NOT_FOUND",🟡 Research
Керамогранит купить в Санкт-Петербурге по выгодной ...,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,WHOLESALER,Porcelain & Ceramic Tiles,stroikeramika@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an active Russian site focused on ceramic tiles and explicitly mentions wholesale (оптом) and retail sales, indicating relevance as a potential buyer of tiles. No concrete data on company size, import habits, or decision‑maker contacts is available, so those fields remain UNKNOWN or NOT_FOUND. The active online presence suggests high recent activity and strong market relevance in the Russian tile sector.",Contact via the listed email to introduce Wolf Group India's porcelain and ceramic tiles and assess interest in importing.,"Active website https://plitka-78.ru/... with tile‑related content and Russian keywords; Page title indicates selling ceramic tiles wholesale and retail in Saint‑Petersburg; Business email provided (stroikeramika@mail.ru); Tile Relevant Flag: YES, Russia Relevant Flag: YES",🟡 Research
Showrooms and dealers in Russia,https://www.marazzigroup.com/locality/russia-country/,SHOWROOM,Porcelain & Ceramic Tiles,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The source confirms the entity operates showrooms/dealers for tiles in Russia, giving high product and market relevance. No size or import data is available, and no decision‑maker contact is found, leading to medium buyer probability and unknown import probability.",Research and obtain contact details for showroom procurement staff before initiating outreach.,Showrooms and dealers in Russia page on Marazzi site indicating tile relevance and Russia relevance.; Verified active site with matching tile and Russian relevance keywords.,🟡 Research
"официальный дистрибьютор ГК ""Уральский Гранит""!",https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,DISTRIBUTOR,Porcelain & Ceramic Tiles,opt@dvresurs.ru,+7 909 875-46-62,+7 909 875-46-62,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company is explicitly described as the official distributor of Ural Granite, indicating a DISTRIBUTOR role. Tile relevance flags and website content show high relevance to tile products, justifying HIGH product relevance and HIGH market relevance for Russia. Absence of size data leaves company size UNKNOWN. No explicit import activity is mentioned, so import probability is UNKNOWN. While the distributor likely purchases building materials, the lack of specific intent for porcelain/ceramic tiles sets buyer probability at MEDIUM. Recent activity cannot be confirmed beyond an active site, thus UNKNOWN. Decision maker information is not available.",Reach out via the listed email or phone to identify the appropriate purchasing decision maker and assess interest in porcelain/ceramic tiles.,Tile Relevant Flag: YES; Russia Relevant Flag: YES; Website active and matches tile and Russian relevance keywords; Business email opt@dvresurs.ru listed; Business phone 79098754662 provided; Decision maker not found on site,🟡 Research
Купить керамогранит в Москве и России. Оптом от ...,https://technotile.ru/,WHOLESALER,Porcelain & Ceramic Tiles,opt@technotile.ru,+7 499 350-44-50,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an active Russian website focused on wholesale ceramic tiles, indicating high product relevance and strong market relevance in Russia. No explicit information about decision‑maker contacts or import activities is available, so import probability and company size remain unknown. Recent website activity is confirmed, and the site provides contact details, making outreach feasible.",Reach out via the provided email or phone to discuss potential tile import partnership and gather decision‑maker information.,"Website active: https://technotile.ru/; Page title indicates wholesale tile sales: ""Купить керамогранит в Москве и России. Оптом от производителя по низким ценам.""; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business email provided: opt@technotile.ru; Business phone provided: 74993504450; Decision Maker: NOT_FOUND; Verified active site with matching tile and Russian relevance keywords.",🟡 Research
Керамическая плитка и керамогранит оптом – купить в ...,https://spb.tesser.ru/content/dlya_optovikov/,WHOLESALER,Porcelain & Ceramic Tiles,spb@tesser.ru,+7 812 407-70-08,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company runs a wholesale warehouse for ceramic tiles in St. Petersburg, showing clear relevance to tile products and a high likelihood of purchasing. The site is active and contact details are available, but no specific decision‑maker information was found.",Contact via the provided email or phone to qualify the lead and discuss potential tile import purchases.,"Website active with tile and Russia relevance keywords.; Page title mentions ""оптом"" and ""оптовый склад"", indicating wholesale activity.; Business email provided (spb@tesser.ru).; Business phone provided (78124077008).",🟡 Research
КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,https://www.ceram-kioto.ru/catalog/keramogranit/,WHOLESALER,Porcelain & Ceramic Tiles,ceram-kioto@mail.ru,+7 495 589-36-85,+7 967 245-45-14,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an active online tile store in Russia, explicitly selling tile both wholesale (оптом) and retail (в розницу), making it a relevant buyer for porcelain and ceramic tiles. Tile relevance and Russian market relevance are high, and recent site activity confirms current operation. No information on import activity or company size is available, and the decision maker was not identified.",Contact the provided business email or phone to introduce Wolf Group India and request to speak with the purchasing or procurement manager for tile imports.,"Website active and displays tile catalog for КЕРАМОГРАНИТ; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Page title mentions ""купить в Москве оптом и в розницу"" indicating wholesale and retail sales; Business email provided: ceram-kioto@mail.ru; Business phone provided: 74955893685",🟡 Research
Контакт-М (Contact-M),https://kontact-m.ru/wholesalers/,WHOLESALER,Porcelain & Ceramic Tiles,koroleva@kontact-m.ru,+7 905 779-77-11,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company presents itself as a wholesale tile supplier in Moscow, matching our porcelain and ceramic tile offering. Its active website, contact details, and tile relevance indicate a high likelihood of being a buyer, though there is no explicit evidence of import activity or company size. Decision‑maker details are missing.",Initiate outreach to the provided email or phone number to gauge interest and identify the appropriate decision‑maker for tile procurement.,"Website page title states ""Керамическая плитка и керамогранит оптом со склада в Москве — поставщик плитки Контакт М!"" indicating wholesale tile supply; Tile Relevant Flag: YES and Russia Relevant Flag: YES confirm relevance to our product and market; Website status is ACTIVE, confirming recent online presence; Business email (koroleva@kontact-m.ru) and phone (79057797711) are listed, showing contactability; Decision Maker information is NOT_FOUND",🟡 Research
Топ 10 российских компаний по производству ...,https://kirovstroysnab.ru/articles/reyting/top-10-rossiyskikh-kompaniy-po-proizvodstvu-keramogranita-v-2023/,MANUFACTURER,Porcelain & Ceramic Tiles,sale@kirovstroysnab.ru,NOT_FOUND,NOT_FOUND,Пестова Александра Викторовича,CEO / General Director,25.0,0.0,0.0,15.0,10.0,10.0,60,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,FOUND,QUALIFIED,NOT_FOUND,"The company is identified as a Russian producer of keramogranite (a tile product), confirming high product and market relevance. While they are a manufacturer rather than a typical buyer, they may still import complementary porcelain tiles, giving a medium buyer probability. No specific import activity is evident, so import probability remains unknown. The site is active and recent (2023), and a decision‑maker (CEO) is identified.",Reach out to the listed CEO via the provided business email to explore potential import partnership.,"Website article titled ""Топ 10 российских компаний по производству керамогранита в 2023"" indicates tile production; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email: sale@kirovstroysnab.ru; Decision Maker: Пестова Александра Викторовича (CEO)",🟡 Research
Home,http://investceramic.ru/home-en,UNKNOWN,Porcelain & Ceramic Tiles,info@investceramic.ru,+7 800 250-35-90,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates a Russian‑focused ceramic tile website, confirming high product and market relevance and indicating active business operations, but no information on company type, size, or import activity and no decision‑maker details are available.",Reach out via the provided email/phone to gather more details and identify the appropriate decision maker; prioritize further research on company structure and import capabilities.,Website active (http://investceramic.ru/home-en) with tile and Russia relevance flags set to YES; Business email available: info@investceramic.ru; Business phone listed: 78002503590.0; Decision maker information not found,🟡 Research
