Company Name,Website,Company Type,Email,Phone,WhatsApp,Telegram,VK,LinkedIn,Contact Person,Designation,Social Source URL,Verification Status
Керамогранит купить в Санкт-Петербурге по выгодной ...,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,WHOLESALER,stroikeramika@mail.ru,,,,,,,,,VERIFIED
Showrooms and dealers in Russia,https://www.marazzigroup.com/locality/russia-country/,DISTRIBUTOR,,,,,,https://www.linkedin.com/company/marazzi-group/,,,https://www.marazzigroup.com/locality/russia-country/,VERIFIED
"официальный дистрибьютор ГК ""Уральский Гранит""!",https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,DISTRIBUTOR,opt@dvresurs.ru,79098754662.0,79098754662.0,https://t.me/facad_resurs,,,,,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,VERIFIED
Купить керамогранит в Москве и России. Оптом от ...,https://technotile.ru/,DISTRIBUTOR,opt@technotile.ru,74993504450.0,,,,,,,,VERIFIED
Керамическая плитка и керамогранит оптом – купить в ...,https://spb.tesser.ru/content/dlya_optovikov/,WHOLESALER,spb@tesser.ru,78124077008.0,,,,,,,,VERIFIED
КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,https://www.ceram-kioto.ru/catalog/keramogranit/,DISTRIBUTOR,ceram-kioto@mail.ru,74955893685.0,79672454514.0,,https://vk.com/ceram_kioto,,,,https://www.ceram-kioto.ru/catalog/keramogranit/,VERIFIED
Контакт-М (Contact-M),https://kontact-m.ru/wholesalers/,DISTRIBUTOR,koroleva@kontact-m.ru,79057797711.0,,,,,,,,VERIFIED
Топ 10 российских компаний по производству ...,https://kirovstroysnab.ru/articles/reyting/top-10-rossiyskikh-kompaniy-po-proizvodstvu-keramogranita-v-2023/,SHOWROOM,sale@kirovstroysnab.ru,,,,https://vk.com/centrceramic,,Пестова Александра Викторовича,CEO / General Director,https://kirovstroysnab.ru/articles/reyting/top-10-rossiyskikh-kompaniy-po-proizvodstvu-keramogranita-v-2023/,VERIFIED
Home,http://investceramic.ru/home-en,DISTRIBUTOR,info@investceramic.ru,78002503590.0,,,,,,,,VERIFIED
Официальный дилер завода керамической плитки TUBADZIN,https://tubadzin.ru/,DISTRIBUTOR,mail@tubadzin.ru,78007079880.0,79857659819.0,,https://vk.com/tubadzinofficial,,,,https://tubadzin.ru/,VERIFIED
Estima,https://estima.ru,SHOWROOM,logistikkursk@skvirel-group.ru,74957756040.0,,https://t.me/estimasmr,https://vk.com/estimaceramica,,,,https://estima.ru,VERIFIED
Tile Oliva Ceramic Buy in Moscow,https://www.lineceramic.ru/en/hand-made-ceramic-tiles/oliva-tile-clone/?srsltid=AfmBOooO80_vfTsT8KPQsPiOB3u9M94DRgFp5ybKf1fVK0UY8PL-0zmH,MANUFACTURER,sales@lineceramic.ru,79043558800.0,,,,,General Director,CEO / General Director,,VERIFIED
Laparet: керамическая плитка и керамогранит от ...,https://laparet.ru/,SHOWROOM,info@laparet.ru,78005507899.0,,https://t.me/laparet_official,,,,,https://laparet.ru/,VERIFIED
Cersanit Russia,https://cersanit.ru,WHOLESALER,report@cersanit.ru,79150602036.0,,https://t.me/cersanit_russia,https://vk.com/cersanit_russia,,,,https://cersanit.ru,VERIFIED
ТЕССЕР (Tesser),https://tesser.ru,WHOLESALER,info@tesser.ru,74954119977.0,,,,,,,,VERIFIED
Gracia Ceramica,https://graciaceramica.com,SHOWROOM,info@graciaceramica.com,78636269456.0,,https://t.me/+DeR64X7uE6gwYzQy,https://vk.com/gracia_ceramica/,,,,https://graciaceramica.com,VERIFIED
Creto,https://creto.ru,COMPANY,shop@creto.ru,74950858220.0,,,https://m.vk.com/public184585020,,,,https://creto.ru,VERIFIED
Союз Керамика (Soyuz Ceramica),https://soyuzceramica.ru,DISTRIBUTOR,shop@soyuzceramica.ru,74951179717.0,79688337208.0,https://t.me/soyuzceramica,https://vk.com/keramamarazzimsk,,,,https://soyuzceramica.ru,VERIFIED
Керамогранит оптом от производителя купить в Санкт ...,https://www.c-s-g.ru/keramogranit/sankt-peterburg,IMPORTER,granite-tile@c-s-g.ru,74997027004.0,,https://t.me/ByAzarova,,,,,https://www.c-s-g.ru/keramogranit/sankt-peterburg,VERIFIED
"Top 185+ Best Ceramic Tiles Dealer In Moscow, Russia",https://pvrmines.com/tiles-in-saint-petersburg/,DISTRIBUTOR,,78124082968.0,,,,https://www.linkedin.com/company/starkmineral,,,https://pvrmines.com/tiles-in-saint-petersburg/,VERIFIED
Onetouch Ceramica,https://onetouchceramica.ru,IMPORTER,onetouchceramica@mail.ru,,,,,,,,,VERIFIED
"Collab Opportunity for Tile Retailers, Builders & Architects ...",https://www.ramirro.com/collaboration-opportunity-for-tile-retailers-builders-architects-in-russia-premium-porcelain-ceramic-tiles/,DISTRIBUTOR,info@ramirro.com,,,,,https://www.linkedin.com/company/ramirroceramicallp,Ramirro Ceramica,Export Manager,https://www.ramirro.com/collaboration-opportunity-for-tile-retailers-builders-architects-in-russia-premium-porcelain-ceramic-tiles/,VERIFIED
Top-Grade Ceramic and Porcelain Tile Solutions for Russia,https://faceimpex.com/globally-presenting/top-grade-ceramic-and-porcelain-tile-solutions-for-russia/,IMPORTER,info@faceimpex.com,,,,,,,,,VERIFIED
MOSCOW,https://www.kourasanit.com/en/showrooms/moscow,SHOWROOM,kourasanitrussia@gmail.com,79850788488.0,,,,https://www.linkedin.com/company/kourasanit,,,https://www.kourasanit.com/en/showrooms/moscow,VERIFIED
Nt Ceramic,https://ntceramic.ru,SHOWROOM,info@ntceramic.ru,78007002873.0,,,https://vk.com/nt_ceramic/,,,,https://ntceramic.ru,VERIFIED
Kerranova (Samarskiy Stroyfarfor),https://kerranova.ru,WHOLESALER,info@kerranova.ru,78462334522.0,,https://t.me/TM_Kerranova,http://vk.com/tmkerranova,,,,https://kerranova.ru,VERIFIED
