Company Name,Website,Company Type,Email,Phone,WhatsApp,Telegram,VK,LinkedIn,Contact Person,Designation,Social Source URL,Verification Status
Топ 10 российских компаний по производству ...,https://kirovstroysnab.ru/articles/reyting/top-10-rossiyskikh-kompaniy-po-proizvodstvu-keramogranita-v-2023/,SHOWROOM,sale@kirovstroysnab.ru,,,,https://vk.com/centrceramic,,Пестова Александра Викторовича,CEO / General Director,https://kirovstroysnab.ru/articles/reyting/top-10-rossiyskikh-kompaniy-po-proizvodstvu-keramogranita-v-2023/,VERIFIED
Home,http://investceramic.ru/home-en,DISTRIBUTOR,info@investceramic.ru,78002503590.0,,,,,,,,VERIFIED
Официальный дилер завода керамической плитки TUBADZIN,https://tubadzin.ru/,DISTRIBUTOR,mail@tubadzin.ru,78007079880.0,79857659819.0,,https://vk.com/tubadzinofficial,,,,https://tubadzin.ru/,VERIFIED
Estima,https://estima.ru,SHOWROOM,logistikkursk@skvirel-group.ru,74957756040.0,,https://t.me/estimasmr,https://vk.com/estimaceramica,,,,https://estima.ru,VERIFIED
Tile Oliva Ceramic Buy in Moscow,https://www.lineceramic.ru/en/hand-made-ceramic-tiles/oliva-tile-clone/?srsltid=AfmBOooO80_vfTsT8KPQsPiOB3u9M94DRgFp5ybKf1fVK0UY8PL-0zmH,MANUFACTURER,sales@lineceramic.ru,79043558800.0,,,,,General Director,CEO / General Director,,VERIFIED
Laparet: керамическая плитка и керамогранит от ...,https://laparet.ru/,SHOWROOM,info@laparet.ru,78005507899.0,,https://t.me/laparet_official,,,,,https://laparet.ru/,VERIFIED
Cersanit Russia,https://cersanit.ru,WHOLESALER,report@cersanit.ru,79150602036.0,,https://t.me/cersanit_russia,https://vk.com/cersanit_russia,,,,https://cersanit.ru,VERIFIED
ТЕССЕР (Tesser),https://tesser.ru,WHOLESALER,info@tesser.ru,74954119977.0,,,,,,,,VERIFIED
Gracia Ceramica,https://graciaceramica.com,SHOWROOM,info@graciaceramica.com,78636269456.0,,https://t.me/+DeR64X7uE6gwYzQy,https://vk.com/gracia_ceramica/,,,,https://graciaceramica.com,VERIFIED
Creto,https://creto.ru,COMPANY,shop@creto.ru,74950858220.0,,,https://m.vk.com/public184585020,,,,https://creto.ru,VERIFIED
Союз Керамика (Soyuz Ceramica),https://soyuzceramica.ru,DISTRIBUTOR,shop@soyuzceramica.ru,74951179717.0,79688337208.0,https://t.me/soyuzceramica,https://vk.com/keramamarazzimsk,,,,https://soyuzceramica.ru,VERIFIED
Керамогранит оптом от производителя купить в Санкт ...,https://www.c-s-g.ru/keramogranit/sankt-peterburg,IMPORTER,granite-tile@c-s-g.ru,74997027004.0,,https://t.me/ByAzarova,,,,,https://www.c-s-g.ru/keramogranit/sankt-peterburg,VERIFIED
"Top 185+ Best Ceramic Tiles Dealer In Moscow, Russia",https://pvrmines.com/tiles-in-saint-petersburg/,DISTRIBUTOR,,78124082968.0,,,,https://www.linkedin.com/company/starkmineral,,,https://pvrmines.com/tiles-in-saint-petersburg/,VERIFIED
Onetouch Ceramica,https://onetouchceramica.ru,IMPORTER,onetouchceramica@mail.ru,,,,,,,,,VERIFIED
"Collab Opportunity for Tile Retailers, Builders & Architects ...",https://www.ramirro.com/collaboration-opportunity-for-tile-retailers-builders-architects-in-russia-premium-porcelain-ceramic-tiles/,DISTRIBUTOR,info@ramirro.com,,,,,https://www.linkedin.com/company/ramirroceramicallp,Ramirro Ceramica,Export Manager,https://www.ramirro.com/collaboration-opportunity-for-tile-retailers-builders-architects-in-russia-premium-porcelain-ceramic-tiles/,VERIFIED
Top-Grade Ceramic and Porcelain Tile Solutions for Russia,https://faceimpex.com/globally-presenting/top-grade-ceramic-and-porcelain-tile-solutions-for-russia/,IMPORTER,info@faceimpex.com,,,,,,,,,VERIFIED
MOSCOW,https://www.kourasanit.com/en/showrooms/moscow,SHOWROOM,kourasanitrussia@gmail.com,79850788488.0,,,,https://www.linkedin.com/company/kourasanit,,,https://www.kourasanit.com/en/showrooms/moscow,VERIFIED
Nt Ceramic,https://ntceramic.ru,SHOWROOM,info@ntceramic.ru,78007002873.0,,,https://vk.com/nt_ceramic/,,,,https://ntceramic.ru,VERIFIED
Kerranova (Samarskiy Stroyfarfor),https://kerranova.ru,WHOLESALER,info@kerranova.ru,78462334522.0,,https://t.me/TM_Kerranova,http://vk.com/tmkerranova,,,,https://kerranova.ru,VERIFIED
Поставщики плитки в России - Каталог 2026,https://xn----7sbgyalyhqdlt6e.xn--p1ai/katalog-postavshchikov/120-plitka,DIRECTORY,,,,,,,,,,REJECTED
Купить керамическую плитку в Москве от ведущих ...,https://globusceramica.ru/,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Керамогранит оптом - Санкт-Петербург,https://spb.saturn.net/catalog/keramogranit/tag-optom/,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Trusted Tiles Exporter and Tiles Supplier in Russia â€“ ...,https://neoratiles.com/blog/trusted-tiles-exporter-and-tiles-supplier-in-russia-neora-tiles,UNKNOWN,,,,,,,,,,REJECTED
Купить плитку керамическую недорого в Санкт- ...,https://spb.mosplitka.ru/catalog/plitka/,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
А-Керамика (A-Ceramica),https://a-ceramica.ru/,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Laperet,https://laperet.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Планета Плитки - купить керамическую плитку в салоне ...,https://planetaplitki.ru/,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Берёзастройматериалы (Beryoza Ceramica),https://bereza-ceramica.by,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Мосплитка (Mosplitka),https://mosplitka.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Zerde Ceramics,https://zerdeceramics.kz,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Plitka-Podolsk,https://plitka-podolsk.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Monalisa Tiles Russia,https://monalisatiles.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Импорт керамической плитки и керамогранита растет ...,https://vc.ru/id462272/2246238-import-keramicheskoy-plitki-i-keramogranita,UNKNOWN,,,,,,,,,,REJECTED
Керамика Импорт - Керамическая плитка,https://yandex.ru/maps/org/keramika_import/1045643965/,DIRECTORY,,,,,,,,,,REJECTED
"Все поставщики керамической плитки, кафеля оптом в ...",https://supl.biz/keramicheskaya-plitka-kafel-supplierscategory9445/,DIRECTORY,,,,,,,,,,REJECTED
Оптовая компания по продаже керамической плитки,https://2gis.ru/spb/search/%D0%9E%D0%BF%D1%82%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B5%20%D0%BA%D0%B5%D1%80%D0%B0%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BF%D0%BB%D0%B8%D1%82%D0%BA%D0%B8,DIRECTORY,,,,,,,,,,REJECTED
"Плитка оптом в Москве на карте: ☎ телефоны, ★ отзывы",https://2gis.ru/moscow/search/%D0%9F%D0%BB%D0%B8%D1%82%D0%BA%D0%B0%20%D0%BE%D0%BF%D1%82%D0%BE%D0%BC/filters/subway%3D4504385655417925,DIRECTORY,,,,,,,,,,REJECTED
"Импорт Мосплитка, склад, керамическая плитка, Москва ...",https://yandex.ru/maps/org/import_mosplitka_sklad/138030565210/,DIRECTORY,,,,,,,,,,REJECTED
Плитка оптом - Санкт-Петербург,https://2gis.ru/spb/search/%D0%9F%D0%BB%D0%B8%D1%82%D0%BA%D0%B0%20%D0%BE%D0%BF%D1%82%D0%BE%D0%BC/filters/subway%3D5348810536517690,DIRECTORY,,,,,,,,,,REJECTED
List of Buyers & Importers for Tile in Russia,https://www.trademo.com/russia/buyers/tile,DIRECTORY,,,,,,,,,,REJECTED
List of Top Russia Ceramic tiles Importers & Buyers Database,https://www.tradeimex.in/company/customs-data/russia-ceramic-tiles-importer,DIRECTORY,,,,,,,,,,REJECTED
List of Russia Importers for Porcelain And Ceramic Tiles,https://www.exportgenius.in/russia-importers-of-porcelain-and-ceramic-tiles,DIRECTORY,,,,,,,,,,REJECTED
Ceramic Tile Imports In Russia,https://www.zauba.com/export-ceramic+tile/fp-russia-hs-code.html,DIRECTORY,,,,,,,,,,REJECTED
Tile russia Importers in India | Trusted List of Shipment,https://www.seair.co.in/tile-russia-importers,DIRECTORY,,,,,,,,,,REJECTED
Top Porcelain-tile Importers in Russia,https://www.marketinsidedata.com/en/search-data/importer?type=import&country=russia&product=porcelain-tile,DIRECTORY,,,,,,,,,,REJECTED
All Importers Data | PDF | Flooring | Tile,https://www.scribd.com/document/548344333/All-Importers-Data-1,DIRECTORY,,,,,,,,,,REJECTED
List of Top 374 Glazed Ceramic Tiles Importers in Russia,https://www.exportgenius.in/russia-importers-of-glazed-ceramic-tiles,DIRECTORY,,,,,,,,,,REJECTED
Ceramic tile russia Importers in India | Trusted List of ...,https://www.seair.co.in/ceramic-tile-russia-importers,DIRECTORY,,,,,,,,,,REJECTED
List of Top 323 Tile Ceramic Importers in Russia,https://www.exportgenius.in/russia-importers-of-tile-ceramic,DIRECTORY,,,,,,,,,,REJECTED
Russia Ceramic Tiles Companies - Top Players' List,https://www.mordorintelligence.com/industry-reports/russia-ceramic-tiles-market/companies,DIRECTORY,,,,,,,,,,REJECTED
"Casati Ceramica, ceramic tile, Moscow, Ryabinovaya ...",https://yandex.com/maps/org/casati_ceramica/19048363309/,DIRECTORY,,,,,,,,,,REJECTED
Primavera,https://primavera-ceramica.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Ceramica Classic,https://ceramicaclassic.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Atlas Concorde Russia,https://atlasconcorde.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Lira Ceramica,https://liraceramica.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
"Best Tiles Manufacturer, supplier and Exporter in Russia",https://lexirasurfaces.com/best-tiles-manufacturer-and-exporter-in-russia/,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
Уральский гранит (Ural Granit),https://uralgranit.ru,UNKNOWN,,,,,,,,,,NEEDS_REVIEW
